"","Estimate","SE","z","P(>|z|)","AIC","SEASON"
"(Intercept)",2.29920136241303,0.169821809694127,13.5389050826523,9.21522247925284e-42,2926.2665257593,"S_1"
"ASPECT",0.00979690227413329,0.0821548730121442,0.119249192591231,0.905077934611726,2926.2665257593,"S_1"
"ELE",-0.0341257760109044,0.129196736161055,-0.264138065905656,0.791673532796006,2926.2665257593,"S_1"
"(Intercept)1",-3.23719897782526,0.16695007439166,-19.3902218350074,9.3333489061438e-84,2926.2665257593,"S_1"
"SLOPE",-0.104449966567723,0.108388719139228,-0.963660862469958,0.3352159822158,2926.2665257593,"S_1"
"EDGE",-0.248399417856349,0.124020323074229,-2.00289284609971,0.04518879112926,2926.2665257593,"S_1"
"(Intercept)2",2.66810571924814,0.163514714338992,16.3172209304463,7.44484998725532e-60,3347.42466877197,"S_2"
"ASPECT1",0.143934438367831,0.0701812248032938,2.05089664324405,0.040277013122138,3347.42466877197,"S_2"
"ELE1",-0.20630009122594,0.100566676106887,-2.05137625317032,0.0402303197872114,3347.42466877197,"S_2"
"(Intercept)11",-3.7063544760272,0.162033835358977,-22.8739538739916,8.44264323637249e-116,3347.42466877197,"S_2"
"SLOPE1",0.100596415637218,0.0939262549964423,1.07101486843086,0.284162744282154,3347.42466877197,"S_2"
"EDGE1",0.0452983249288438,0.112606025209368,0.402272656766107,0.687483375578092,3347.42466877197,"S_2"
"(Intercept)3",1.91787814335789,0.155466915744749,12.336246166398,5.77878790775655e-35,1980.1843935235,"S_3"
"ASPECT2",-0.255653369161433,0.106602400362281,-2.39819524037556,0.0164760806083856,1980.1843935235,"S_3"
"ELE2",0.0936941534669599,0.130814340927518,0.716237629625592,0.473844631433922,1980.1843935235,"S_3"
"(Intercept)12",-3.71016705320506,0.145778972915637,-25.4506324128938,6.94660684926276e-143,1980.1843935235,"S_3"
"SLOPE2",-0.325405251191485,0.13124185583163,-2.47943195506887,0.0131591835563088,1980.1843935235,"S_3"
"EDGE2",0.384843215932341,0.143743494787333,2.67729135500505,0.00742200629137316,1980.1843935235,"S_3"
"(Intercept)4",1.85142559536128,0.171036749055968,10.8247239589162,2.62870038783002e-27,2402.42238675856,"S_4"
"ASPECT3",-0.0763556017382429,0.099950888759415,-0.763931193468757,0.444908247254121,2402.42238675856,"S_4"
"ELE3",-0.0540999601960253,0.128852393873712,-0.419859954243835,0.674587763679404,2402.42238675856,"S_4"
"(Intercept)13",-3.20000749338966,0.175844810961975,-18.1979068696069,5.36177212567663e-74,2402.42238675856,"S_4"
"SLOPE3",-0.168408489543238,0.137672150641791,-1.22325749077183,0.221232457421779,2402.42238675856,"S_4"
"EDGE3",0.158634774173983,0.128393006180813,1.23554061776995,0.216629369448259,2402.42238675856,"S_4"
"(Intercept)5",0.944920970296269,0.203234210587374,4.64941885308246,0.00000332871612788429,1195.93810819777,"S_5"
"ASPECT4",0.352574799713002,0.170975891007161,2.06213167035482,0.0391952018813011,1195.93810819777,"S_5"
"ELE4",0.0193979843307871,0.15340437204559,0.126450009684354,0.899375717809173,1195.93810819777,"S_5"
"(Intercept)14",-3.33013091356278,0.176618462045567,-18.8549423146014,2.67630663055119e-79,1195.93810819777,"S_5"
"SLOPE4",-0.0354421709655155,0.153122488196689,-0.231462872520653,0.816955225751395,1195.93810819777,"S_5"
"EDGE4",0.77427344097575,0.180528000982973,4.28893820770096,0.0000179529307000924,1195.93810819777,"S_5"
"(Intercept)6",2.21032754738135,0.154234001923809,14.3310004266974,1.40087924280401e-46,3159.45355705249,"S_6"
"ASPECT5",-0.241071608539922,0.0861438695226774,-2.7984766632344,0.00513442795259799,3159.45355705249,"S_6"
"ELE5",0.0305030546086362,0.132945103408052,0.229440978469229,0.818526189309527,3159.45355705249,"S_6"
"(Intercept)15",-3.16836261237727,0.149954697012661,-21.1287987338587,4.32408389812484e-99,3159.45355705249,"S_6"
"SLOPE5",-0.141278135366853,0.126068014904135,-1.12065011473596,0.262436824156216,3159.45355705249,"S_6"
"EDGE5",-0.0277800197902312,0.149567574451544,-0.185735577327499,0.852652127066071,3159.45355705249,"S_6"
"(Intercept)7",2.5181639758247,0.138880024012821,18.131937935093,1.78361108404344e-73,3608.39749709246,"S_7"
"ASPECT6",-0.249588757306712,0.0759587506318051,-3.28584600497899,0.00101676580546555,3608.39749709246,"S_7"
"ELE6",0.24981687688968,0.106033873783904,2.35601009351789,0.0184724157582577,3608.39749709246,"S_7"
"(Intercept)16",-3.20458005409682,0.133862113978804,-23.9394101799725,1.19123079778646e-126,3608.39749709246,"S_7"
"SLOPE6",-0.274966442605161,0.0925004861856606,-2.97259456618711,0.00295294228323008,3608.39749709246,"S_7"
"EDGE6",-0.0472347681943306,0.114710993356061,-0.411771939309381,0.680506590578845,3608.39749709246,"S_7"
"(Intercept)8",2.28105216595876,0.196729565019478,11.5948620418741,4.37570150464854e-31,2321.17840213469,"S_8"
"ASPECT7",-0.0480249396561841,0.0914783080678524,-0.524987187351152,0.59959209789197,2321.17840213469,"S_8"
"ELE7",0.190987306444636,0.136131277423144,1.40296418324924,0.160627519714966,2321.17840213469,"S_8"
"(Intercept)17",-3.80838079108014,0.196388802572988,-19.3920464974817,9.00804449942944e-84,2321.17840213469,"S_8"
"SLOPE7",-0.171798521442848,0.11810239196753,-1.4546574254828,0.145764124575981,2321.17840213469,"S_8"
"EDGE7",0.0969002384790035,0.139755205618039,0.693356916835274,0.48808559244818,2321.17840213469,"S_8"
"(Intercept)9",1.56521580891031,0.16168002461733,9.68094736882261,3.63333382290976e-22,2544.61888565176,"S_9"
"ASPECT8",-0.203190015788696,0.11301701528641,-1.79787101326087,0.0721974506017907,2544.61888565176,"S_9"
"ELE8",0.160307648128258,0.132888132409203,1.2063353229664,0.227688223100692,2544.61888565176,"S_9"
"(Intercept)18",-2.71718780465164,0.145463293990388,-18.6795426537721,7.26388188809789e-78,2544.61888565176,"S_9"
"SLOPE8",-0.212417825570134,0.130811018134586,-1.62385270445328,0.104407248561367,2544.61888565176,"S_9"
"EDGE8",-0.0265974062266842,0.103254038785156,-0.257591921242192,0.796721865273489,2544.61888565176,"S_9"
